Team,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
TOR,21,12/5/16,,CLE,L,112,116,120.6,124.9,92.9,0.307,0.364,0.561,40.7,57.9,8.6,9.6,,0.506,6.5,22.2,0.261,,0.56,12.7,63.9,0.262
TOR,22,12/8/16,,MIN,W,124,110,137.7,122.1,90.1,0.379,0.31,0.611,49.4,58.1,5.6,8.3,,0.563,7.3,37.2,0.299,,0.563,12.1,61.9,0.125
TOR,23,12/9/16,@,BOS,W,101,94,105.9,98.6,95.4,0.329,0.244,0.538,52.1,35.3,9.4,4.9,,0.47,10.5,17.4,0.293,,0.476,12.3,84,0.181
TOR,24,12/12/16,,MIL,W,122,100,132.4,108.5,92.2,0.346,0.309,0.654,55.4,61.9,7.6,3.1,,0.605,13,35.9,0.296,,0.494,10.2,72.7,0.135
TOR,25,12/14/16,@,PHI,W,123,114,131.8,122.1,93.3,0.414,0.333,0.598,47.6,51.2,9.6,5.3,,0.529,8,34.1,0.356,,0.552,12.6,63.2,0.221
TOR,26,12/16/16,,ATL,L,121,125,126.8,131,95.4,0.302,0.244,0.621,38.9,42.6,7.3,8.2,,0.605,8.5,21.6,0.198,,0.599,12.3,57.1,0.256
TOR,27,12/18/16,@,ORL,W,109,79,115.6,83.8,94.3,0.241,0.31,0.566,52.8,46.5,10.6,11.3,,0.534,9.4,23.8,0.184,,0.428,17.9,78.7,0.096
TOR,28,12/20/16,,BRK,W,116,104,112.9,101.2,102.8,0.341,0.198,0.554,48,45.2,12.6,16.1,,0.505,11.1,24,0.264,,0.451,13.4,72,0.242
TOR,29,12/23/16,@,UTA,W,104,98,112.9,106.4,92.1,0.185,0.259,0.594,47.4,27.9,13,7.7,,0.58,10.2,13.9,0.123,,0.506,15.3,77.5,0.228
TOR,30,12/26/16,@,POR,W,95,91,96.6,92.5,98.4,0.253,0.358,0.45,49.1,53.1,11.2,6.7,,0.4,10.2,24.6,0.2,,0.47,16.5,77.6,0.157
TOR,31,12/28/16,@,GSW,L,111,121,113,123.2,98.2,0.214,0.34,0.493,46.9,60,13.2,10.3,,0.451,5.8,31.1,0.175,,0.654,18.4,74.3,0.185
TOR,32,12/29/16,@,PHO,L,91,99,93.8,102,97.1,0.387,0.36,0.518,47.8,33.3,12.4,8.1,,0.447,17,20.5,0.32,,0.5,17.7,73.9,0.193
TOR,33,1/1/17,@,LAL,W,123,114,128.6,119.2,95.6,0.427,0.227,0.69,48.2,42.9,5.2,15,,0.627,15.2,15.6,0.387,,0.484,6.2,68.6,0.272
TOR,34,1/3/17,@,SAS,L,82,110,90.6,121.5,90.6,0.265,0.217,0.442,50,25.8,8.8,7.4,,0.398,11.5,27.5,0.193,,0.635,15.1,82.9,0.141
TOR,35,1/5/17,,UTA,W,101,93,119.4,109.9,84.6,0.308,0.231,0.489,49.5,38.9,11.8,11.3,,0.44,3.7,38.2,0.231,,0.514,18,66.7,0.247
TOR,36,1/7/17,@,CHI,L,118,123,111.4,116.1,95.9,0.506,0.365,0.568,40.6,54.1,10.4,7.2,,0.482,8.8,12.2,0.424,,0.448,10.9,67.3,0.371
